in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
9.30395e-07,0.00056142,4.23988e-06,0.00216128,4.84523e-06,0.00221039
1.42772e-06,0.000561241,4.19191e-06,0.00216104,5.87667e-06,0.00221039
9.30162e-07,0.000560943,4.59937e-06,0.0021608,6.58122e-06,0.00221182
9.76732e-07,0.000561181,4.87224e-06,0.0021608,6.77307e-06,0.00221159
1.3928e-06,0.000561062,5.17585e-06,0.0021608,6.33768e-06,0.00221159
1.29501e-06,0.000560943,5.41381e-06,0.00216033,5.99775e-06,0.0022123
1.06591e-06,0.000561181,4.85501e-06,0.00215961,5.4953e-06,0.0022123
8.20266e-07,0.000561241,4.7833e-06,0.00215961,5.43988e-06,0.00221302
6.50765e-07,0.000561539,5.23453e-06,0.00215913,5.72254e-06,0.00221302
5.07342e-07,0.000562016,5.66526e-06,0.0021589,5.6634e-06,0.0022123
