in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
4.18772e-06,0.00237752,1.73767e-05,0.00917631,2.18862e-05,0.00947005
3.75883e-06,0.00237824,1.73656e-05,0.00917631,2.17372e-05,0.00947005
3.56279e-06,0.00237896,1.81702e-05,0.00917631,2.11784e-05,0.009471
3.39981e-06,0.00237848,1.86824e-05,0.00917631,2.07854e-05,0.009471
3.25871e-06,0.002378,1.85223e-05,0.00917631,2.01856e-05,0.009471
3.19678e-06,0.002378,1.82987e-05,0.00917631,1.96343e-05,0.009471
3.65592e-06,0.002378,1.858e-05,0.00917536,1.94163e-05,0.009471
4.05221e-06,0.00237824,1.69707e-05,0.00917536,1.93809e-05,0.00947195
3.5246e-06,0.00237848,1.74028e-05,0.00917536,1.95411e-05,0.00947291
2.95044e-06,0.00237848,1.81367e-05,0.00917536,1.97404e-05,0.00947386
