Wavelength,Responsivity
439.6,2.8987
439.7,2.9056
439.8,2.9125
439.9,2.9194
440,2.9263
440.1,2.9332
440.2,2.9401
440.3,2.9471
440.4,2.9541
440.5,2.961
440.6,2.968
440.7,2.9751
440.8,2.9821
440.9,2.9892
441,2.9962
441.1,3.0033
441.2,3.0104
441.3,3.0175
441.4,3.0247
441.5,3.0318
441.6,3.039
441.7,3.0461
441.8,3.0533
441.9,3.0606
442,3.0678
442.1,3.075
442.2,3.0823
442.3,3.0896
442.4,3.0969
442.5,3.1042
442.6,3.1115
442.7,3.1188
442.8,3.1262
442.9,3.1336
443,3.141
443.1,3.1484
443.2,3.1558
443.3,3.1632
443.4,3.1707
443.5,3.1782
443.6,3.1857
443.7,3.1932
443.8,3.2007
443.9,3.2082
444,3.2158
444.1,3.2233
444.2,3.2309
444.3,3.2385
444.4,3.2461
444.5,3.2538
444.6,3.2614
444.7,3.2691
444.8,3.2768
444.9,3.2845
445,3.2922
445.1,3.2999
445.2,3.3077
445.3,3.3154
445.4,3.3232
445.5,3.331
445.6,3.3388
445.7,3.3466
445.8,3.3545
445.9,3.3623
446,3.3702
446.1,3.3781
446.2,3.386
446.3,3.3939
446.4,3.4019
446.5,3.4098
446.6,3.4178
446.7,3.4258
446.8,3.4338
446.9,3.4419
447,3.4499
447.1,3.458
447.2,3.4661
447.3,3.4742
447.4,3.4823
447.5,3.4904
447.6,3.4986
447.7,3.5068
447.8,3.515
447.9,3.5232
448,3.5314
448.1,3.5397
448.2,3.548
448.3,3.5562
448.4,3.5646
448.5,3.5729
448.6,3.5812
448.7,3.5896
448.8,3.598
448.9,3.6064
449,3.6148
449.1,3.6232
449.2,3.6317
449.3,3.6402
449.4,3.6487
449.5,3.6572
449.6,3.6657
449.7,3.6743
449.8,3.6829
449.9,3.6914
450,3.7001
450.1,3.7087
450.2,3.7173
450.3,3.726
450.4,3.7347
450.5,3.7434
450.6,3.7521
450.7,3.7608
450.8,3.7696
450.9,3.7784
451,3.7872
451.1,3.796
451.2,3.8048
451.3,3.8137
451.4,3.8225
451.5,3.8314
451.6,3.8403
451.7,3.8493
451.8,3.8582
451.9,3.8672
452,3.8761
452.1,3.8851
452.2,3.8942
452.3,3.9032
452.4,3.9123
452.5,3.9213
452.6,3.9304
452.7,3.9395
452.8,3.9487
452.9,3.9578
453,3.967
453.1,3.9762
453.2,3.9854
453.3,3.9946
453.4,4.0038
453.5,4.0131
453.6,4.0224
453.7,4.0317
453.8,4.041
453.9,4.0503
454,4.0597
454.1,4.0691
454.2,4.0784
454.3,4.0879
454.4,4.0973
454.5,4.1067
454.6,4.1162
454.7,4.1257
454.8,4.1352
454.9,4.1447
455,4.1542
455.1,4.1638
455.2,4.1734
455.3,4.183
455.4,4.1926
455.5,4.2022
455.6,4.2119
455.7,4.2216
455.8,4.2312
455.9,4.2409
456,4.2507
456.1,4.2604
456.2,4.2702
456.3,4.28
456.4,4.2898
456.5,4.2996
456.6,4.3094
456.7,4.3193
456.8,4.3292
456.9,4.3391
457,4.349
457.1,4.3589
457.2,4.3688
457.3,4.3788
457.4,4.3888
457.5,4.3988
457.6,4.4088
457.7,4.4189
457.8,4.4289
457.9,4.439
458,4.4491
458.1,4.4592
458.2,4.4694
458.3,4.4796
458.4,4.4898
458.5,4.5001
458.6,4.5104
458.7,4.5207
458.8,4.5311
458.9,4.5415
459,4.5519
459.1,4.5624
459.2,4.5729
459.3,4.5835
459.4,4.5941
459.5,4.6047
459.6,4.6154
459.7,4.6261
459.8,4.6368
459.9,4.6476
460,4.6584
460.1,4.6693
460.2,4.6802
460.3,4.6911
460.4,4.7021
460.5,4.7131
460.6,4.7241
460.7,4.7352
460.8,4.7463
460.9,4.7575
461,4.7687
461.1,4.7799
461.2,4.7912
461.3,4.8025
461.4,4.8138
461.5,4.8252
461.6,4.8366
461.7,4.8481
461.8,4.8595
461.9,4.8711
462,4.8826
462.1,4.8942
462.2,4.9059
462.3,4.9175
462.4,4.9293
462.5,4.941
462.6,4.9528
462.7,4.9646
462.8,4.9765
462.9,4.9884
463,5.0003
463.1,5.0123
463.2,5.0243
463.3,5.0363
463.4,5.0484
463.5,5.0605
463.6,5.0727
463.7,5.0849
463.8,5.0971
463.9,5.1094
464,5.1217
464.1,5.134
464.2,5.1464
464.3,5.1588
464.4,5.1713
464.5,5.1838
464.6,5.1963
464.7,5.2089
464.8,5.2215
464.9,5.2341
465,5.2468
465.1,5.2595
465.2,5.2723
465.3,5.2851
465.4,5.2979
465.5,5.3108
465.6,5.3237
465.7,5.3366
465.8,5.3496
465.9,5.3626
466,5.3757
466.1,5.3887
466.2,5.4019
466.3,5.415
466.4,5.4282
466.5,5.4415
466.6,5.4547
466.7,5.4681
466.8,5.4814
466.9,5.4948
467,5.5082
467.1,5.5217
467.2,5.5352
467.3,5.5487
467.4,5.5623
467.5,5.5759
467.6,5.5895
467.7,5.6032
467.8,5.6169
467.9,5.6307
468,5.6445
468.1,5.6583
468.2,5.6722
468.3,5.6861
468.4,5.7
468.5,5.714
468.6,5.728
468.7,5.7421
468.8,5.7562
468.9,5.7703
469,5.7845
469.1,5.7987
469.2,5.8129
469.3,5.8271
469.4,5.8413
469.5,5.8554
469.6,5.8695
469.7,5.8835
469.8,5.8976
469.9,5.9116
470,5.9255
470.1,5.9395
470.2,5.9534
470.3,5.9672
470.4,5.9811
470.5,5.9949
470.6,6.0086
470.7,6.0224
470.8,6.0361
470.9,6.0498
471,6.0634
471.1,6.077
471.2,6.0906
471.3,6.1042
471.4,6.1177
471.5,6.1312
471.6,6.1446
471.7,6.158
471.8,6.1714
471.9,6.1848
472,6.1981
472.1,6.2114
472.2,6.2246
472.3,6.2379
472.4,6.2511
472.5,6.2642
472.6,6.2774
472.7,6.2905
472.8,6.3035
472.9,6.3166
473,6.3296
473.1,6.3425
473.2,6.3555
473.3,6.3684
473.4,6.3813
473.5,6.3941
473.6,6.4069
473.7,6.4197
473.8,6.4324
473.9,6.4452
474,6.4578
474.1,6.4705
474.2,6.4831
474.3,6.4957
474.4,6.5083
474.5,6.5208
474.6,6.5333
474.7,6.5457
474.8,6.5582
474.9,6.5705
475,6.5829
475.1,6.5952
475.2,6.6075
475.3,6.6198
475.4,6.632
475.5,6.6442
475.6,6.6564
475.7,6.6686
475.8,6.6807
475.9,6.6927
476,6.7048
476.1,6.7168
476.2,6.7288
476.3,6.7407
476.4,6.7526
476.5,6.7645
476.6,6.7764
476.7,6.7882
476.8,6.8
476.9,6.8117
477,6.8234
477.1,6.8351
477.2,6.8468
477.3,6.8584
477.4,6.87
477.5,6.8816
477.6,6.8931
477.7,6.9046
477.8,6.9161
477.9,6.9275
478,6.9389
478.1,6.9503
478.2,6.9616
478.3,6.9729
478.4,6.9842
478.5,6.9954
478.6,7.0067
478.7,7.0178
478.8,7.029
478.9,7.0401
479,7.0512
479.1,7.0622
479.2,7.0732
479.3,7.0842
479.4,7.0952
479.5,7.1061
479.6,7.117
479.7,7.1279
479.8,7.1388
479.9,7.1497
480,7.1607
480.1,7.1717
480.2,7.1827
480.3,7.1937
480.4,7.2047
480.5,7.2157
480.6,7.2268
480.7,7.2379
480.8,7.249
480.9,7.2601
481,7.2713
481.1,7.2824
481.2,7.2936
481.3,7.3048
481.4,7.316
481.5,7.3273
481.6,7.3385
481.7,7.3498
481.8,7.3611
481.9,7.3724
482,7.3838
482.1,7.3951
482.2,7.4065
482.3,7.4179
482.4,7.4293
482.5,7.4407
482.6,7.4522
482.7,7.4636
482.8,7.4751
482.9,7.4866
483,7.4981
483.1,7.5097
483.2,7.5212
483.3,7.5328
483.4,7.5444
483.5,7.556
483.6,7.5677
483.7,7.5793
483.8,7.591
483.9,7.6027
484,7.6144
484.1,7.6261
484.2,7.6379
484.3,7.6497
484.4,7.6614
484.5,7.6733
484.6,7.6851
484.7,7.6969
484.8,7.7088
484.9,7.7207
485,7.7326
485.1,7.7445
485.2,7.7564
485.3,7.7684
485.4,7.7804
485.5,7.7924
485.6,7.8044
485.7,7.8164
485.8,7.8285
485.9,7.8406
486,7.8527
486.1,7.8648
486.2,7.8769
486.3,7.889
486.4,7.9012
486.5,7.9134
486.6,7.9256
486.7,7.9378
486.8,7.9501
486.9,7.9623
487,7.9746
