in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.00209595,0.102898,0.000699226,0.391603,0.000850145,0.4079
0.00209333,0.102906,0.000699047,0.391634,0.000850145,0.4079
0.00209166,0.102898,0.000699047,0.391665,0.000850324,0.4079
0.00208999,0.102852,0.000698987,0.391695,0.000850443,0.4079
0.00208808,0.102852,0.000698987,0.391695,0.000850204,0.4079
0.00208665,0.10286,0.000698809,0.391726,0.000849906,0.4079
0.0020857,0.10286,0.000698391,0.391726,0.000850026,0.4079
0.00208403,0.10286,0.000698034,0.391726,0.000850145,0.407869
0.00205208,0.10286,0.000698213,0.391756,0.000849787,0.407869
0.00204636,0.10286,0.000698451,0.391787,0.000849131,0.407869
