in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
3.31907e-05,0.012415,8.69562e-05,0.0476534,0.000101783,0.0490916
3.29001e-05,0.012414,8.67774e-05,0.0476611,0.000101902,0.0490839
3.26058e-05,0.0124121,8.73064e-05,0.0476687,0.000102014,0.0490763
3.22016e-05,0.0124102,8.76565e-05,0.0476763,0.000102014,0.0490687
3.1898e-05,0.0124083,8.71797e-05,0.0476763,0.000101462,0.0490649
3.23171e-05,0.0124083,8.68221e-05,0.0476801,0.000100509,0.0490611
3.24848e-05,0.0124083,8.74777e-05,0.0476916,9.98755e-05,0.0490534
3.24848e-05,0.0124064,8.80365e-05,0.0476916,0.000100263,0.0490496
3.27511e-05,0.0124035,8.80589e-05,0.0476954,0.000101038,0.0490458
3.27753e-05,0.0123997,8.82749e-05,0.0476954,0.000101232,0.049042
