in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.00167728,0.0343993,0.000228913,0.126328,0.000269355,0.130158
0.00167716,0.0343993,0.000229032,0.126328,0.000269623,0.130105
0.00167716,0.0343974,0.00022927,0.126328,0.000269385,0.130113
0.00167728,0.0343993,0.000229419,0.126328,0.000269504,0.130113
0.00167692,0.0343993,0.000229747,0.126328,0.000269921,0.13012
0.00167645,0.0343993,0.000230015,0.126328,0.00027016,0.130136
0.00167633,0.0343993,0.000229747,0.126328,0.000269623,0.130136
0.00167645,0.0343974,0.00022936,0.126328,0.0002687,0.130143
0.00167633,0.0343974,0.000229181,0.126328,0.000267925,0.130158
0.00167633,0.0343993,0.000229091,0.126328,0.000268193,0.130166
