in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.00475028,0.0799375,0.000525478,0.291567,0.000613991,0.300753
0.00474599,0.0799375,0.000525478,0.291597,0.00061423,0.300753
0.00474599,0.0799527,0.000525061,0.291597,0.000614766,0.300783
0.00474504,0.0799642,0.000524405,0.291597,0.000614647,0.300783
0.00474361,0.079968,0.000523869,0.291597,0.000614408,0.300783
0.00474218,0.0799756,0.000524048,0.291597,0.000614528,0.300814
0.00474074,0.0799832,0.000524167,0.291597,0.000614706,0.300814
0.00473931,0.079987,0.000524942,0.291628,0.000614647,0.300783
0.00473788,0.079987,0.000525299,0.291628,0.00061417,0.300783
0.00473598,0.0799909,0.000525419,0.291628,0.00061417,0.300783
