in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
1.46847e-06,0.000137516,2.0835e-06,0.000534717,7.8441e-07,0.000551764
1.95428e-06,0.000137673,1.93623e-06,0.000534955,1.62074e-06,0.000551406
2.16289e-06,0.000137755,2.1147e-06,0.000534657,2.77047e-06,0.000551287
1.78163e-06,0.000137099,1.663e-06,0.000534657,3.26314e-06,0.000551883
1.88116e-06,0.000136682,1.57848e-06,0.000535075,2.56348e-06,0.000551943
1.89944e-06,0.000137397,2.17081e-06,0.000535253,1.52482e-06,0.000551764
1.05578e-06,0.000137755,2.18432e-06,0.000534717,1.30293e-06,0.000551526
5.41568e-07,0.000137636,2.18432e-06,0.000534657,1.36626e-06,0.000551585
3.25965e-07,0.000137308,2.18432e-06,0.000535015,1.91575e-06,0.000551526
1.02632e-06,0.000137464,1.63471e-06,0.000535313,2.01121e-06,0.000550929
