in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
1.09216e-06,1.28698e-06,5.64269e-07,5.12743e-06,4.11763e-07,6.14676e-06
1.09216e-06,7.26319e-07,5.63454e-07,4.74977e-06,1.06777e-06,6.29949e-06
1.09216e-06,6.60777e-07,3.76955e-07,5.57306e-06,6.8895e-07,6.16259e-06
1.09216e-06,8.3831e-07,1.87197e-07,6.15188e-06,1.02411e-06,6.4811e-06
4.14906e-07,9.94311e-07,5.20962e-07,5.72627e-06,9.73589e-07,7.15259e-06
1.62517e-07,1.66789e-06,3.93136e-07,5.20705e-06,2.04077e-07,7.74727e-06
5.31438e-08,2.18432e-06,5.7463e-07,5.15071e-06,7.71255e-07,7.69837e-06
4.25849e-07,2.18432e-06,8.91279e-07,5.63546e-06,7.62175e-07,7.28157e-06
6.23873e-07,2.18432e-06,5.58215e-07,6.04804e-06,1.40223e-06,6.84991e-06
7.88368e-07,1.68582e-06,4.2096e-07,6.11928e-06,1.47627e-06,6.51929e-06
