in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.00140668,0.0545352,0.000380816,0.210664,0.000441493,0.216462
0.00140513,0.0545313,0.000380756,0.210664,0.000441553,0.216462
0.00140346,0.0545313,0.000380637,0.210664,0.00044209,0.216462
0.00140155,0.0545275,0.000380637,0.210664,0.000442924,0.216462
0.00139964,0.0545237,0.000380458,0.210664,0.000442805,0.216462
0.0013975,0.0545199,0.000380309,0.210664,0.000442388,0.216462
0.00139631,0.0545199,0.000380756,0.210664,0.000441911,0.216462
0.00139571,0.0545161,0.000380518,0.210664,0.000442268,0.216462
0.00139428,0.0545161,0.000380905,0.210664,0.000442626,0.216462
0.0013919,0.0545161,0.000381293,0.210664,0.000442566,0.216462
