in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.000365974,0.000441136,8.9836e-06,0.00705054,8.93051e-06,0.00734428
0.000365825,0.000441672,1.01431e-05,0.00705054,8.5049e-06,0.00734666
0.000365736,0.000441553,8.01735e-06,0.00705007,7.66019e-06,0.00734523
0.000365974,0.000440897,8.63901e-06,0.0070515,8.32608e-06,0.00734475
0.000365438,0.000440599,1.00243e-05,0.0070515,8.84483e-06,0.00734332
0.0003652,0.000439705,9.34588e-06,0.00704959,7.62945e-06,0.00734332
0.0003652,0.000440003,8.91188e-06,0.00704864,8.32515e-06,0.00734523
0.000365229,0.000439705,1.00998e-05,0.00704864,7.91537e-06,0.00734571
0.000364872,0.000438513,1.04621e-05,0.00704911,7.68626e-06,0.00734475
0.000364425,0.000438454,9.79943e-06,0.00704911,1.01347e-05,0.00734475
