in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.00983149,0.00655845,0.000136861,0.100129,0.000109144,0.104271
0.00982863,0.00655988,0.0001373,0.100129,0.000109464,0.104271
0.00982958,0.00655988,0.000137412,0.100129,0.000109882,0.104271
0.00982863,0.00656036,0.000137814,0.100136,0.000109181,0.104264
0.00982672,0.00656083,0.000136794,0.100136,0.000108429,0.104264
0.00982386,0.00656083,0.000137904,0.100136,0.000109137,0.104264
0.00982386,0.00655988,0.000138492,0.100136,0.000109844,0.104264
0.00982195,0.00655892,0.000137755,0.100136,0.000110753,0.104271
0.00982195,0.00655988,0.000137785,0.100129,0.000111603,0.104271
0.009821,0.00655988,0.000138425,0.100129,0.000111126,0.104264
