in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.00449231,0.0032344,6.48205e-05,0.0512164,5.61031e-05,0.0532115
0.00449327,0.0032344,6.49882e-05,0.0512164,5.57976e-05,0.0532153
0.00449422,0.00323321,6.65975e-05,0.0512164,5.68109e-05,0.0532076
0.00449279,0.00323297,6.82776e-05,0.0512164,5.83942e-05,0.0531962
0.00448993,0.00323249,6.69104e-05,0.0512164,5.89008e-05,0.0531962
0.00448897,0.00323321,6.68322e-05,0.0512087,5.71276e-05,0.0531962
0.00448802,0.00323249,6.71227e-05,0.0512049,5.50749e-05,0.0531886
0.00448897,0.00323297,6.81211e-05,0.0512011,5.53841e-05,0.0531847
0.00448993,0.0032344,7.00806e-05,0.0512011,5.57008e-05,0.0531847
0.00448802,0.0032344,6.92834e-05,0.0512049,5.70568e-05,0.0531847
