in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.00184251,0.0391371,0.000263663,0.145082,0.000308694,0.149674
0.00184227,0.0391352,0.000263782,0.145066,0.000308724,0.149674
0.00184203,0.039139,0.000263723,0.145059,0.000308814,0.149674
0.00184203,0.039139,0.000263365,0.145051,0.000309022,0.149674
0.00184203,0.039139,0.000263514,0.145051,0.000308843,0.149674
0.00184203,0.0391371,0.000263007,0.145059,0.000309201,0.149674
0.00184179,0.0391371,0.000264348,0.145059,0.000310095,0.149873
0.00184203,0.0391371,0.000264617,0.145066,0.000310125,0.149888
0.00184251,0.0391371,0.000264199,0.145082,0.00030938,0.149888
0.00184251,0.0391352,0.000264348,0.145089,0.000308814,0.149888
