in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.00225617,0.0451663,0.000302078,0.166635,0.000355424,0.172196
0.00225641,0.0451663,0.000302168,0.166627,0.000355067,0.172196
0.00225593,0.0451624,0.000302376,0.166612,0.000354739,0.172189
0.00225545,0.0451624,0.000302287,0.166627,0.000354411,0.172174
0.00225545,0.0451624,0.000302436,0.166635,0.000354858,0.172158
0.00225331,0.0451586,0.000302615,0.166642,0.000355454,0.172128
0.00225164,0.0451586,0.000302495,0.166642,0.000355395,0.17209
0.00224806,0.0451586,0.000302346,0.16665,0.000355395,0.172067
0.00224568,0.0451624,0.000302942,0.166657,0.000355216,0.172044
0.00224616,0.0451663,0.000303539,0.166665,0.000355007,0.172036
