in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
8.28324e-06,0.00130749,1.06982e-05,0.00504735,1.21268e-05,0.00520423
7.51068e-06,0.00130809,1.04653e-05,0.00504735,1.19834e-05,0.00520423
6.69903e-06,0.00130845,1.04141e-05,0.00504735,1.15252e-05,0.00520423
6.68553e-06,0.00130809,1.08341e-05,0.00504735,1.14674e-05,0.00520423
6.82802e-06,0.00130738,1.14702e-05,0.00504783,1.16034e-05,0.00520423
6.77726e-06,0.00130714,1.18912e-05,0.00504783,1.17496e-05,0.00520375
7.26435e-06,0.00130726,1.16258e-05,0.00504735,1.13752e-05,0.00520328
7.81106e-06,0.00130714,1.10772e-05,0.00504735,1.11107e-05,0.00520328
8.34052e-06,0.00130749,1.09403e-05,0.00504735,1.12029e-05,0.0052028
8.33027e-06,0.00130738,1.08109e-05,0.00504735,1.13724e-05,0.00520232
