in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.00798756,0.00650266,0.000138135,0.113175,0.000123122,0.11715
0.00798565,0.00650266,0.000138023,0.113175,0.000122019,0.117157
0.0079847,0.00650457,0.000139751,0.113183,0.000124001,0.117157
0.00798517,0.00650504,0.000140765,0.113183,0.000123494,0.11715
0.00798231,0.00650409,0.000139774,0.113175,0.000123472,0.11715
0.0079785,0.00650313,0.000139141,0.113167,0.000124284,0.117157
0.00797707,0.00650218,0.000140489,0.113183,0.000124284,0.117157
0.00797707,0.00650218,0.000140154,0.113175,0.000125156,0.11715
0.00797516,0.0065017,0.000139044,0.113175,0.000124664,0.11715
0.00797182,0.00650218,0.000140675,0.113183,0.000123211,0.117142
