in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.00333597,0.0025313,5.42777e-05,0.0449145,5.0653e-05,0.047085
0.00333573,0.00252987,5.4911e-05,0.0448992,4.97403e-05,0.0470812
0.0033374,0.0025294,5.61068e-05,0.044903,4.9934e-05,0.047066
0.00333907,0.00253011,5.64198e-05,0.0449069,5.02805e-05,0.047066
0.00333597,0.00253154,5.55816e-05,0.0449183,5.1711e-05,0.0470736
0.00333525,0.0025325,5.44342e-05,0.0449259,5.27727e-05,0.0470812
0.0033343,0.00253107,5.39573e-05,0.0449374,5.34842e-05,0.047085
0.00333478,0.00253035,5.4613e-05,0.0449412,5.20165e-05,0.047085
0.00333335,0.00252964,5.5183e-05,0.0449488,5.14241e-05,0.047085
0.00333406,0.00253154,5.47508e-05,0.044945,4.96621e-05,0.0470698
