in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.00597385,0.0042229,9.01078e-05,0.0745778,8.14353e-05,0.0779691
0.00597098,0.00422314,9.10689e-05,0.0745816,8.14651e-05,0.0779767
0.00596955,0.00422385,9.09497e-05,0.0745854,8.36779e-05,0.0779729
0.00597051,0.00422457,9.1285e-05,0.0745816,8.29552e-05,0.0779767
0.00596908,0.00422457,9.05995e-05,0.0745854,8.16924e-05,0.0779805
0.00596908,0.00422457,8.93776e-05,0.0745854,8.36668e-05,0.0779805
0.0059686,0.00422505,8.84761e-05,0.0745893,8.3976e-05,0.0779805
0.00596622,0.00422505,8.84761e-05,0.0745893,8.28844e-05,0.0779805
0.00596383,0.00422481,9.0309e-05,0.0745893,8.18674e-05,0.0779843
0.00596336,0.00422433,9.22089e-05,0.0745854,8.29701e-05,0.0779843
