in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.00448325,0.00322677,7.14441e-05,0.0570643,6.4854e-05,0.0595629
0.00448373,0.00322606,7.14217e-05,0.0570681,6.36284e-05,0.0595706
0.00448373,0.00322558,7.06543e-05,0.0570681,6.49621e-05,0.0595744
0.0044823,0.00322391,7.05128e-05,0.0570681,6.63777e-05,0.0595706
0.00448039,0.00322391,6.92164e-05,0.0570719,6.73202e-05,0.0595667
0.00448039,0.00322463,7.01402e-05,0.0570719,6.46045e-05,0.0595667
0.00447944,0.00322367,7.04718e-05,0.0570719,6.30957e-05,0.0595667
0.00447848,0.00322391,6.91493e-05,0.0570681,6.34384e-05,0.0595667
0.00447705,0.00322558,6.89891e-05,0.0570681,6.61542e-05,0.0595629
0.00447562,0.00322558,7.03451e-05,0.0570681,6.4217e-05,0.0595667
