in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
1.97721e-06,0.000558559,4.67806e-06,0.00214292,5.78168e-06,0.00221564
2.29316e-06,0.000558738,4.76468e-06,0.00214292,5.28016e-06,0.00221588
2.77582e-06,0.00055844,5.22102e-06,0.00214292,5.26154e-06,0.00221588
2.21633e-06,0.000558082,5.89577e-06,0.00214292,5.54699e-06,0.00221612
1.93158e-06,0.000558142,5.84501e-06,0.0021434,5.95397e-06,0.00221612
2.37838e-06,0.000558261,5.74769e-06,0.00214435,6.68599e-06,0.00221564
2.37279e-06,0.000557963,5.37097e-06,0.00214435,6.83454e-06,0.00221469
2.11086e-06,0.000557903,3.18141e-06,0.0021434,6.08948e-06,0.00221445
1.89525e-06,0.000557784,5.21683e-06,0.00214268,5.86038e-06,0.00221492
2.03635e-06,0.000557069,4.75443e-06,0.0021434,5.95491e-06,0.0022154
