in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.00202991,0.0397913,0.000264855,0.145967,0.000310333,0.150628
0.00202943,0.0397913,0.000264378,0.145967,0.000310512,0.150628
0.0020292,0.0397913,0.000263991,0.145974,0.000310453,0.150628
0.0020292,0.0397913,0.000263931,0.145974,0.0003109,0.150628
0.0020292,0.0397913,0.000263544,0.145967,0.000310989,0.150628
0.00202872,0.0397913,0.000263276,0.145967,0.00031081,0.150628
0.00202872,0.0397933,0.000263514,0.145967,0.000311019,0.150628
0.00202872,0.0397952,0.000263812,0.145974,0.000311198,0.150628
0.00202848,0.0397952,0.000263603,0.145974,0.000311079,0.150628
0.00202848,0.0397952,0.000263752,0.145982,0.00031081,0.150628
