in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.0149222,0.00745538,0.000180722,0.126046,0.000139349,0.131669
0.0149155,0.00745681,0.000179828,0.126061,0.000138097,0.131684
0.014906,0.00745586,0.000179649,0.126061,0.00013841,0.131692
0.0149003,0.00745395,0.000181855,0.126054,0.000137188,0.131692
0.0148955,0.00745347,0.00018263,0.126054,0.000136496,0.131692
0.0148917,0.00745395,0.000180514,0.126046,0.000137263,0.131692
0.014885,0.00745443,0.000180275,0.126046,0.000137032,0.131692
0.0148802,0.00745586,0.000180335,0.126046,0.000138045,0.131692
0.0148736,0.00745586,0.000180603,0.126046,0.000138246,0.131684
0.0148669,0.0074549,0.000180603,0.126039,0.000138112,0.131684
