in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.00315262,0.00192357,4.28187e-05,0.032757,3.8611e-05,0.0342352
0.0031531,0.00192452,4.29249e-05,0.0327513,3.86781e-05,0.03422
0.00315763,0.00192738,4.21184e-05,0.0327475,3.76964e-05,0.0342085
0.00315548,0.00192714,3.99037e-05,0.0327475,3.71619e-05,0.03422
0.00315191,0.00192595,3.99037e-05,0.0327475,3.89668e-05,0.0342238
0.00314762,0.00192524,4.17011e-05,0.0327494,3.83391e-05,0.0342104
0.0031438,0.00192595,4.1459e-05,0.032757,3.68638e-05,0.0341971
0.00314571,0.0019281,3.998e-05,0.0327628,3.87395e-05,0.0341971
0.00315048,0.00193072,4.00043e-05,0.0327761,3.91568e-05,0.0341971
0.00315024,0.00192953,4.09337e-05,0.032778,3.88252e-05,0.034199
