in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.00392535,0.00229909,5.205e-05,0.0392859,4.51172e-05,0.0411437
0.00392392,0.00229932,5.1331e-05,0.0392897,4.38767e-05,0.0411417
0.00392488,0.00229837,5.0612e-05,0.0392821,4.31726e-05,0.0411341
0.00392368,0.00229765,5.02358e-05,0.0392802,4.31614e-05,0.0411341
0.00392106,0.00229813,5.10255e-05,0.0392802,4.25058e-05,0.0411131
0.00391939,0.00229885,5.11149e-05,0.0392859,4.18054e-05,0.0410903
0.00391796,0.0022998,4.97962e-05,0.0392916,4.18092e-05,0.0410864
0.00391677,0.00230075,4.99974e-05,0.0392706,4.42381e-05,0.0410883
0.00391844,0.00229909,5.08877e-05,0.0392668,4.47633e-05,0.0410807
0.00391796,0.00229622,5.14204e-05,0.0392649,4.52253e-05,0.0410845
