in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.00172735,0.00119758,2.58723e-05,0.0203382,2.3231e-05,0.0212194
0.0017258,0.00119782,2.48441e-05,0.0203401,2.39295e-05,0.0212194
0.00172342,0.0011983,2.47323e-05,0.0203401,2.40077e-05,0.0212175
0.00172187,0.00119723,2.55984e-05,0.0203382,2.44157e-05,0.0212194
0.00172306,0.00119651,2.50788e-05,0.0203401,2.47826e-05,0.0212194
0.00172365,0.00119675,2.53917e-05,0.0203382,2.38159e-05,0.0212175
0.00172294,0.00119735,2.53358e-05,0.0203401,2.39202e-05,0.0212175
0.00172175,0.0011977,2.4723e-05,0.020342,2.44138e-05,0.0212175
0.00172294,0.00119842,2.60604e-05,0.020342,2.19384e-05,0.0212175
0.00172306,0.00119854,2.70439e-05,0.0203382,2.2702e-05,0.0212175
