in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
1.09216e-06,1.82819e-06,5.46079e-07,7.48321e-06,5.46079e-07,6.76655e-06
1.09216e-06,1.45078e-06,5.46079e-07,7.04176e-06,5.46079e-07,6.83733e-06
8.40522e-07,1.33226e-06,5.46079e-07,6.40567e-06,5.46079e-07,6.713e-06
2.70667e-08,1.50642e-06,5.46079e-07,5.85153e-06,5.46079e-07,7.10043e-06
4.957e-07,1.29944e-06,5.46079e-07,5.98564e-06,5.46079e-07,7.48693e-06
3.52159e-08,8.92676e-07,5.46079e-07,6.16958e-06,5.46079e-07,7.61219e-06
5.46632e-07,9.2341e-07,5.46079e-07,6.15235e-06,5.46079e-07,7.58938e-06
7.25155e-07,9.88955e-07,5.46079e-07,5.87761e-06,5.46079e-07,7.47436e-06
4.26198e-07,9.31559e-07,5.46079e-07,5.8967e-06,5.46079e-07,7.58379e-06
7.46866e-07,1.12283e-06,5.46079e-07,5.6322e-06,5.46079e-07,7.49438e-06
