in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.00271989,0.0516474,0.000344606,0.189363,0.000402929,0.194703
0.00271966,0.0516436,0.000344457,0.189332,0.000403168,0.194703
0.00271894,0.0516322,0.000344368,0.189332,0.00040284,0.194673
0.00271799,0.0516284,0.000344636,0.189332,0.000401886,0.194673
0.00271703,0.0516284,0.000344845,0.189332,0.00040138,0.194673
0.00271632,0.0516284,0.000344427,0.189332,0.000401529,0.194673
0.00271513,0.0516284,0.000344099,0.189332,0.000401886,0.194673
0.00271465,0.0516284,0.000344159,0.189332,0.000402154,0.194673
0.00270845,0.0516245,0.000344368,0.189363,0.000401916,0.194673
0.00270654,0.0516245,0.000344547,0.189363,0.000402989,0.194673
