in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
2.22075e-06,0.000576261,5.16654e-06,0.0022278,5.78121e-06,0.0022936
1.66987e-06,0.000576559,5.09157e-06,0.00222804,5.99402e-06,0.00229384
2.46918e-06,0.000576917,5.30996e-06,0.00222851,6.42336e-06,0.00229456
3.1572e-06,0.000577036,5.43988e-06,0.00222851,6.92255e-06,0.00229551
3.06593e-06,0.000577096,5.42033e-06,0.00222827,6.35957e-06,0.00229551
2.73089e-06,0.000577096,5.13441e-06,0.00222804,5.60333e-06,0.00229551
2.02052e-06,0.000576798,4.77026e-06,0.00222804,4.86898e-06,0.00229599
1.57022e-06,0.000576321,4.84663e-06,0.00222804,4.84803e-06,0.00229551
1.82936e-06,0.000576857,4.51182e-06,0.00222756,4.69343e-06,0.00229479
2.01912e-06,0.000576977,3.78444e-06,0.00222732,4.93976e-06,0.00229456
