in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.000506405,0.0319521,0.000226767,0.125047,0.000264408,0.12864
0.000506107,0.0319541,0.000227303,0.125031,0.000264915,0.128633
0.000505749,0.0319541,0.000227244,0.125016,0.000264766,0.128633
0.000505332,0.031956,0.000226797,0.125009,0.000264885,0.128633
0.000504617,0.0319579,0.000226499,0.125001,0.000264766,0.128625
0.000504497,0.0319579,0.000226648,0.124985,0.00026408,0.128625
0.000504557,0.0319598,0.000227333,0.124978,0.000263812,0.128625
0.000504617,0.0319579,0.000228257,0.12497,0.00026405,0.128625
0.000504378,0.0319579,0.000228734,0.124962,0.000264348,0.128625
0.000503961,0.0319579,0.000228168,0.124962,0.000264736,0.128633
