in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
5.98805e-05,0.0093022,6.94213e-05,0.0367739,7.93305e-05,0.0379202
5.94298e-05,0.0093022,6.92946e-05,0.0367739,7.88053e-05,0.0379202
5.93739e-05,0.00930125,6.91381e-05,0.036772,7.84923e-05,0.0379183
5.92249e-05,0.00930125,6.86985e-05,0.036772,7.83433e-05,0.0379183
5.91392e-05,0.0093022,6.87023e-05,0.036772,7.80975e-05,0.0379164
5.91876e-05,0.00930411,6.84489e-05,0.0367701,7.81422e-05,0.0379145
5.88673e-05,0.00930506,6.80727e-05,0.0367701,7.89915e-05,0.0379145
5.90275e-05,0.00930506,6.76964e-05,0.0367701,7.95578e-05,0.0379145
5.94074e-05,0.00930506,6.7756e-05,0.0367682,7.97105e-05,0.0379126
6.02046e-05,0.00930506,6.8136e-05,0.0367663,7.97738e-05,0.0379088
